valid_time,u10,v10,t2m,msl,sst,avg_sdswrf,number,latitude,longitude,expver,wind_speed
2019-01-21 06:00:00,6.2731657,0.44903117,7.1320496,101939.41,14.120331,485.24414,0,35.05,129.05,0001,6.289216
2019-01-21 12:00:00,6.052719,-1.3373003,6.03714,101881.37,14.120331,0.0,0,35.05,129.05,0001,6.198692
2019-01-21 18:00:00,4.8555174,-2.477584,3.9912415,102024.76,14.120331,0.0,0,35.05,129.05,0001,5.4510984
2019-01-22 00:00:00,2.1091514,-1.7527523,4.2502747,102092.85,14.130524,137.03105,0,35.05,129.05,0001,2.7423823
2019-01-22 06:00:00,4.563714,1.6215628,8.148468,101844.484,14.130524,486.57544,0,35.05,129.05,0001,4.843238
2019-01-22 12:00:00,7.382185,-0.26837307,8.490387,101820.16,14.130524,0.0,0,35.05,129.05,0001,7.3870616
2019-01-22 18:00:00,6.0140266,-1.4516115,5.681793,101909.14,14.130524,0.0,0,35.05,129.05,0001,6.1867356
2019-01-23 00:00:00,4.0871725,-0.53156185,6.148468,101951.2,14.230133,138.83109,0,35.05,129.05,0001,4.121594
2019-01-23 06:00:00,7.140251,0.45085543,10.294098,101767.01,14.230133,489.1753,0,35.05,129.05,0001,7.154471
2019-01-23 12:00:00,4.305726,-3.6336012,8.316803,101948.73,14.230133,0.0,0,35.05,129.05,0001,5.634033
2019-01-23 18:00:00,1.6924314,-6.5390654,4.0729065,102155.36,14.230133,0.0,0,35.05,129.05,0001,6.754532
2019-01-24 00:00:00,1.8241427,-4.1046247,4.6716614,102330.22,14.690399,140.95642,0,35.05,129.05,0001,4.4917083
2019-01-24 06:00:00,0.9885564,-1.1129704,8.649567,102190.14,14.690399,456.7373,0,35.05,129.05,0001,1.4886056
2019-01-24 12:00:00,1.9114736,-1.516017,7.5832825,102255.35,14.690399,0.0,0,35.05,129.05,0001,2.43968
2019-01-24 18:00:00,2.631537,-3.7690935,5.3717346,102287.1,14.690399,0.0,0,35.05,129.05,0001,4.596853
2019-01-25 00:00:00,3.2954798,-3.2558432,5.781891,102233.04,14.25827,110.20184,0,35.05,129.05,0001,4.63257
